schema_version,suite,scope,benchmark_id,group,benchmark,baseline_benchmark,coverage_status,coverage_note,baseline_median_ns,baseline_ci_lower_ns,baseline_ci_upper_ns,current_median_ns,current_ci_lower_ns,current_ci_upper_ns,baseline_nalgebra_median_ns,baseline_nalgebra_ci_lower_ns,baseline_nalgebra_ci_upper_ns,baseline_faer_median_ns,baseline_faer_ci_lower_ns,baseline_faer_ci_upper_ns
1,vs_linalg,release-signal,d3/la_stack_det_from_ldlt,d3,la_stack_det_from_ldlt,la_stack_det_from_ldlt,comparable,,0.59477992281505032,0.59472219116780245,0.59492421185552224,0.59496997125556228,0.59480219751870333,0.59514975667769421,0.48174818812547809,0.48126926100771028,0.48234366542385021,0.7429406902916269,0.74215865144126136,0.74316840092920089
1,vs_linalg,release-signal,d3/la_stack_det_from_lu,d3,la_stack_det_from_lu,la_stack_det_from_lu,comparable,,0.69382906994751337,0.69372455541071265,0.693955281660387,0.6938382932649928,0.69371543412299963,0.69401222588717393,0.48748885143063264,0.48666491806252388,0.4884768781028227,0.9908795673907953,0.99043984044654099,0.99118019693272874
1,vs_linalg,release-signal,d3/la_stack_det_via_lu,d3,la_stack_det_via_lu,la_stack_det_via_lu,comparable,,8.6987283573495908,8.6820481344215388,8.7195939182762601,8.7330760339022611,8.7164490312478264,8.7519581507139819,17.78206896534542,17.683878473352575,17.866720242518589,162.86610685841279,161.84255350690262,164.18815092570892
1,vs_linalg,release-signal,d3/la_stack_dot,d3,la_stack_dot,la_stack_dot,comparable,,0.66466006269657352,0.66449872189993564,0.66493841553420274,0.66529453349876766,0.66471116669493679,0.66594917480025939,0.68254323774247383,0.68174781597407752,0.68397071323272807,2.9721043004090149,2.9672636668026549,2.9737072044585546
1,vs_linalg,release-signal,d3/la_stack_inf_norm,d3,la_stack_inf_norm,la_stack_inf_norm,comparable,,1.3018736049200941,1.3012035317105675,1.3022769209393514,1.3022204280027463,1.3019503775557604,1.3025409334706468,1.1111305491166579,1.1071917895656265,1.1131111255161568,1.2543560581510862,1.2485904067302944,1.2574672016871224
1,vs_linalg,release-signal,d3/la_stack_ldlt,d3,la_stack_ldlt,la_stack_ldlt,comparable,,13.365571137774044,13.32666856698679,13.388654282023392,13.578777245617996,13.518208039128293,13.660511854186652,3.854880152140328,3.8496021469670976,3.8614449677231759,108.22496781137824,107.80687397708674,109.0961018676262
1,vs_linalg,release-signal,d3/la_stack_ldlt_solve,d3,la_stack_ldlt_solve,la_stack_ldlt_solve,comparable,,12.539766048291,12.47990558126806,12.576982845534463,18.271606214141041,17.80685111570045,20.33914360837819,5.57965224227463,5.5669118207312955,5.6126545272101183,155.3584554027743,154.6383401275217,155.90266889655413
1,vs_linalg,release-signal,d3/la_stack_lu,d3,la_stack_lu,la_stack_lu,comparable,,8.2753403949589917,8.2622389396778484,8.302681989155797,17.720017343411151,16.719375128108371,18.448514051541753,14.751846435975526,14.71103012926266,14.778186260671214,156.64884372337724,155.37278578448223,158.01224418140694
1,vs_linalg,release-signal,d3/la_stack_lu_solve,d3,la_stack_lu_solve,la_stack_lu_solve,comparable,,10.088217111140551,10.041843004661228,10.159124028084907,9.9768486519488775,9.8983811166077125,10.025906395438968,22.794790952289048,22.713611901221796,22.98916653289352,217.56680047835044,216.1785685588016,219.02900557169431
1,vs_linalg,release-signal,d3/la_stack_norm2_sq,d3,la_stack_norm2_sq,la_stack_norm2_sq,comparable,,0.44433102804392299,0.44362843706784982,0.44490517874170721,0.44492109425017012,0.44446960832512455,0.44534723732947157,0.43707950239910859,0.43667205113888041,0.43740679552668504,4.0917796805949926,4.0870148530788608,4.0952880000727614
1,vs_linalg,release-signal,d3/la_stack_solve_from_ldlt,d3,la_stack_solve_from_ldlt,la_stack_solve_from_ldlt,comparable,,1.7797906835768509,1.7792510114171358,1.7811215449638009,1.7800479595458731,1.7795798536856575,1.7807743797736573,2.7491770764902128,2.7409270248937236,2.7596003983742241,45.820103833034061,45.419346186712907,46.512106282423062
1,vs_linalg,release-signal,d3/la_stack_solve_from_lu,d3,la_stack_solve_from_lu,la_stack_solve_from_lu,comparable,,2.0533085097381019,2.0515242639054314,2.0560913182004255,2.0545412990479761,2.0532042866735472,2.056574592257737,4.4865178210568821,4.4752780759106567,4.4988558406251711,56.686173567119951,56.484327764812235,56.979242838971345
1,vs_linalg,release-signal,d32/la_stack_det,d32,la_stack_det,la_stack_det,comparable,,2179.691354657688,2172.6720760453109,2184.6388888888887,2168.5406336323022,2163.2463921620547,2178.788811188811,,,,,,
1,vs_linalg,release-signal,d32/la_stack_det_from_ldlt,d32,la_stack_det_from_ldlt,la_stack_det_from_ldlt,comparable,,7.7151198458582089,7.6991340302699331,7.7370374257209829,7.7617086675781959,7.7371566936650238,7.783815867105325,2.9575668764860588,2.9533704308656255,2.9612696377300076,8.2541190527740653,8.2276212383937839,8.2980897276881009
1,vs_linalg,release-signal,d32/la_stack_det_from_lu,d32,la_stack_det_from_lu,la_stack_det_from_lu,comparable,,9.0557646083605654,9.0434752432105618,9.0818144030154446,9.0425497903633172,9.0270617151132946,9.0485748020212959,3.0632310730041938,3.058571115995306,3.0667491876998865,8.6378126376298816,8.5923907486053945,8.6585745819032667
1,vs_linalg,release-signal,d32/la_stack_det_via_lu,d32,la_stack_det_via_lu,la_stack_det_via_lu,comparable,,2046.0624938536557,2041.3038606747048,2051.0636373542552,2052.0108969513731,2038.2267602457862,2057.7743209876544,2194.7460702161725,2188.8989397699074,2200.5841731395121,2310.7510427515745,2304.8958130989381,2316.1990997508237
1,vs_linalg,release-signal,d32/la_stack_dot,d32,la_stack_dot,la_stack_dot,comparable,,4.005044008903182,4.0012220974534545,4.0083585622839255,4.0022794786302978,3.9971985367801794,4.0041341307292377,4.7174753890800005,4.7111610181446473,4.7227958792063474,4.940159341901305,4.9388835725206226,4.9472784425006946
1,vs_linalg,release-signal,d32/la_stack_inf_norm,d32,la_stack_inf_norm,la_stack_inf_norm,comparable,,126.96311798060728,126.86053717923132,127.17461129179991,127.60310823622962,127.36826902491643,127.74566473988439,158.53327140255777,154.91656977880257,159.5608448432649,163.63962038379032,163.39937414926791,164.21209669997975
