phase,benchmark_id,sample_count,mean_ns,mean_ci_lower_ns,mean_ci_upper_ns,median_ns,median_ci_lower_ns,median_ci_upper_ns,confidence_level
baseline,d3/faer_det_from_ldlt,100,0.7423293769266407,0.7416182731048302,0.7432300285607399,0.7429406902916269,0.7421586514412614,0.7431684009292009,0.95
baseline,d3/faer_det_from_lu,100,0.9913127488786686,0.9901778528196276,0.9927141993274645,0.9908795673907953,0.990439840446541,0.9911801969327287,0.95
baseline,d3/faer_det_via_lu,100,172.56641107643568,169.37985613659734,175.84339733910258,162.8661068584128,161.84255350690262,164.18815092570892,0.95
baseline,d3/faer_dot_native,100,2.937859185989457,2.9044212192916805,2.971667642731076,2.972104300409015,2.967263666802655,2.9737072044585546,0.95
baseline,d3/faer_inf_norm,100,1.2541225569653875,1.2513879026909074,1.2571186057812795,1.2543560581510862,1.2485904067302944,1.2574672016871224,0.95
baseline,d3/faer_ldlt,100,108.9165322384862,108.38963682802394,109.47248943611366,108.22496781137824,107.80687397708674,109.0961018676262,0.95
baseline,d3/faer_ldlt_solve,100,155.71712204225128,155.22384463784158,156.25537386660935,155.3584554027743,154.6383401275217,155.90266889655413,0.95
baseline,d3/faer_lu,100,166.45798828289614,163.20093930806482,169.89002822965125,156.64884372337724,155.37278578448223,158.01224418140694,0.95
baseline,d3/faer_lu_solve,100,221.66472794445986,219.9587622687004,223.4432762342371,217.56680047835044,216.1785685588016,219.0290055716943,0.95
baseline,d3/faer_norm2_sq,100,4.091006645114607,4.085694023399089,4.096370045173409,4.091779680594993,4.087014853078861,4.095288000072761,0.95
baseline,d3/faer_norm_l2,100,5.931758969182319,5.886093998370566,5.977788236849495,5.925549915397632,5.84797861706615,6.02123897995774,0.95
baseline,d3/faer_solve_from_ldlt,100,46.352638063907314,45.87138635091703,46.84913199669809,45.82010383303406,45.41934618671291,46.51210628242306,0.95
baseline,d3/faer_solve_from_lu,100,62.69152087226169,60.84448302063916,64.58782016087729,56.68617356711995,56.484327764812235,56.979242838971345,0.95
baseline,d3/iterative_f64_hypot,100,3.2586765954666648,3.2499079564293107,3.267537917940882,3.254424402770945,3.248101951781245,3.265186935747645,0.95
baseline,d3/la_stack_det,100,1.3285972893913174,1.3258508013101336,1.331862393039634,1.3248260462690267,1.3241936110286718,1.325669453672313,0.95
baseline,d3/la_stack_det_from_ldlt,100,0.5960179801292316,0.59512258887296,0.5971246723827968,0.5947799228150503,0.5947221911678024,0.5949242118555222,0.95
baseline,d3/la_stack_det_from_lu,100,0.6963748799438075,0.6950866120653313,0.6978368265853888,0.6938290699475134,0.6937245554107127,0.693955281660387,0.95
baseline,d3/la_stack_det_via_lu,100,8.711527438237063,8.69388994938024,8.7298300149336,8.69872835734959,8.682048134421539,8.71959391827626,0.95
baseline,d3/la_stack_dot,100,0.6662908847228785,0.6649176536389523,0.6679147069724322,0.6646600626965735,0.6644987218999356,0.6649384155342027,0.95
baseline,d3/la_stack_inf_norm,100,1.3040133365411637,1.3016804844977037,1.3068603652742379,1.301873604920094,1.3012035317105675,1.3022769209393514,0.95
baseline,d3/la_stack_ldlt,100,13.365816447293973,13.331365161385657,13.40392596023791,13.365571137774044,13.32666856698679,13.388654282023392,0.95
baseline,d3/la_stack_ldlt_solve,100,12.77784178911875,12.682776216719498,12.877644389040508,12.539766048291,12.47990558126806,12.576982845534463,0.95
